x,y,z
19.13041,-76.71909,9.99058
18.80466,-78.78499,11.34062
18.63367,-81.08808,12.07099
18.11139,-83.41075,12.05467
16.7992,-84.49374,12.20357
24.46583,-70.33077,2.4225
23.48206,-71.71323,4.53029
22.91482,-69.00116,-0.00153
24.99646,-69.00202,-3.23E-09
22.63621,-73.23613,6.52945
22.03703,-74.99261,8.29624
21.52205,-76.86352,9.85457
21.16451,-78.94749,10.98091
20.55533,-81.10427,11.38206
19.40571,-82.32899,11.73935
24.97855,-69.9632,1.74933
24.97136,-71.04323,3.34981
25.11078,-72.23991,4.76439
24.81171,-73.48839,6.05264
24.45678,-74.80437,7.24711
24.02685,-76.16003,8.28072
23.29612,-77.41464,9.24284
22.50833,-78.65843,10.14283
21.64535,-79.88965,10.911
